rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
47469109,3180,7054,9/3/2015 12:45:00,111,"Park Lane , Hyde Park",9/3/2015 11:52:00,300,"Serpentine Car Park, Hyde Park",,,
46915469,7380,3792,8/16/2015 11:59:00,407,"Speakers' Corner 1, Hyde Park",8/16/2015 9:56:00,407,"Speakers' Corner 1, Hyde Park",,,
65899423,2040,3038,6/9/2017 18:30:00,165,"Orsett Terrace, Bayswater",6/9/2017 17:56:00,579,"Queen Street 2, Bank",,,
64280726,2280,10868,4/22/2017 10:14:00,553,"Regent's Row , Haggerston",4/22/2017 9:36:00,519,"Teviot Street, Poplar",,,
59235489,2340,7183,10/9/2016 4:31:00,100,"Albert Embankment, Vauxhall",10/9/2016 3:52:00,612,"Wandsworth Rd, Isley Court, Wandsworth Road",,,
55248935,2160,7619,6/26/2016 7:26:00,465,"Pitfield Street North,Hoxton",6/26/2016 6:50:00,459,"Gunmakers Lane, Old Ford",,,
43015438,5400,2779,4/27/2015 22:50:00,772,"Binfield Road, Stockwell",4/27/2015 21:20:00,157,"Wright's Lane, Kensington",,,
61090882,1980,1710,12/15/2016 21:16:00,487,"Canton Street, Poplar",12/15/2016 20:43:00,564,"Somerset House, Strand",,,
47150505,2400,6748,8/22/2015 17:15:00,291,"Claverton Street, Pimlico",8/22/2015 16:35:00,248,"Triangle Car Park, Hyde Park",,,
54154089,3000,12290,5/23/2016 22:03:00,785,"Aquatic Centre, Queen Elizabeth Olympic Park",5/23/2016 21:13:00,785,"Aquatic Centre, Queen Elizabeth Olympic Park",,,
52607737,6540,11430,4/3/2016 16:39:00,304,"Cumberland Gate, Hyde Park",4/3/2016 14:50:00,382,"Farm Street, Mayfair",,,
49135790,1980,9338,10/27/2015 14:29:00,209,"Denyer Street, Knightsbridge",10/27/2015 13:56:00,127,"Wood Street, Guildhall",,,
50251732,2580,9160,12/12/2015 13:12:00,229,"Whitehall Place, Strand",12/12/2015 12:29:00,421,"Southwark Station 2, Southwark",,,
57635395,6060,1532,8/25/2016 17:45:00,784,"East Village, Queen Elizabeth Olympic Park",8/25/2016 16:04:00,260,"Broadwick Street, Soho",,,
57394441,3480,682,8/18/2016 19:01:00,273,"Belvedere Road, South Bank",8/18/2016 18:03:00,785,"Aquatic Centre, Queen Elizabeth Olympic Park",,,
63440296,2280,8998,3/27/2017 17:52:00,300,"Serpentine Car Park, Hyde Park",3/27/2017 17:14:00,111,"Park Lane , Hyde Park",,,
56033125,2040,5099,7/17/2016 15:46:00,742,"Blenheim Crescent, Ladbroke Grove",7/17/2016 15:12:00,559,"Abbotsbury Road, Holland Park",,,
43582790,5760,8746,5/17/2015 1:23:00,534,"Goldsmith's Row, Haggerston",5/16/2015 23:47:00,484,"Bromley High Street, Bow",,,
64011544,18060,6971,4/12/2017 23:44:00,130,"Tower Gardens , Tower",4/12/2017 18:43:00,130,"Tower Gardens , Tower",,,
